Month,Hour,Minutes,light_level,RS_outdoor,TM_outdoor,temperature
3,19,30,0.0,0,10.8,24.0
3,19,40,0.0,0,10.8,23.9
3,19,50,0.0,0,10.4,23.7
3,20,0,0.0,0,10.4,23.6
3,20,10,0.0,0,10.4,23.5
3,20,20,0.0,0,9.8,23.4
3,20,30,0.0,0,9.8,23.3
3,20,40,0.0,0,9.8,23.2
3,20,50,0.0,0,8.9,23.0
3,21,0,0.0,0,8.9,23.0
3,21,10,0.0,0,8.9,22.9
3,21,20,0.0,0,8.5,22.8
3,21,30,0.0,0,8.5,22.8
3,21,40,0.0,0,8.5,22.7
3,21,50,0.0,0,7.6,22.6
3,22,0,0.0,0,7.6,22.6
3,22,10,0.0,0,7.6,22.5
3,22,20,0.0,0,7.1,22.5
3,22,30,0.0,0,7.1,22.4
3,22,40,0.0,0,7.1,22.4
3,22,50,0.0,0,6.8,22.3
3,23,0,0.0,0,6.8,22.3
3,23,10,0.0,0,6.8,22.3
3,23,20,0.0,0,6.5,22.2
3,23,30,0.0,0,6.5,22.2
3,23,40,0.0,0,6.5,22.2
3,0,0,0.0,0,6.7,22.0
3,0,10,0.0,0,6.7,22.0
3,0,20,0.0,0,6.1,22.0
3,0,30,0.0,0,6.1,21.9
3,0,40,0.0,0,6.1,21.9
3,0,50,0.0,0,5.9,21.9
3,1,0,0.0,0,5.9,21.9
3,1,10,0.0,0,5.9,21.8
3,1,20,0.0,0,5.4,21.8
3,1,30,0.0,0,5.4,21.8
3,1,40,0.0,0,5.4,21.8
3,1,50,0.0,0,5.1,21.7
3,2,0,0.0,0,5.1,21.7
3,2,10,0.0,0,5.1,21.7
3,2,20,0.0,0,5.4,21.6
3,2,30,0.0,0,5.4,21.6
3,2,40,0.0,0,5.4,21.6
3,2,50,0.0,0,5.1,21.6
3,3,0,0.0,0,5.1,21.6
3,3,10,0.0,0,5.1,21.5
3,3,20,0.0,0,4.8,21.5
3,3,30,0.0,0,4.8,21.5
3,3,40,0.0,0,4.8,21.4
3,3,50,0.0,0,5.3,21.4
3,4,0,0.0,0,5.3,21.4
3,4,10,0.0,0,5.3,21.4
3,4,20,0.0,0,5.5,21.3
3,4,30,0.0,0,5.5,21.3
3,4,40,0.0,0,5.5,21.3
3,4,50,0.0,0,5.2,21.3
3,5,0,0.0,0,5.2,21.3
3,5,10,0.0,0,5.2,21.2
3,5,20,0.0,0,4.9,21.2
3,5,30,0.0,0,4.9,21.2
3,5,40,0.0,0,4.9,21.2
3,5,50,0.0,8,5.0,21.2
3,6,0,0.0,8,5.0,21.2
3,6,10,0.0,8,5.0,21.2
3,6,20,0.0,29,5.2,21.3
3,6,30,0.0,29,5.2,21.3
3,6,40,0.0,29,5.2,21.3
3,6,50,0.0,158,5.9,21.3
3,7,0,0.0,158,5.9,21.4
3,7,10,0.0,158,5.9,21.4
3,7,20,0.0,267,6.9,21.4
3,7,30,0.0,267,6.9,21.5
3,7,40,0.0,267,6.9,21.6
3,7,50,0.0,360,8.2,21.6
3,8,0,0.0,360,8.2,21.7
3,8,10,0.0,360,8.2,21.8
3,8,20,0.0,437,9.7,21.8
