Fecha,Hora,TM,HRM%,PPT,RS
27-07-2023,17:00 - 17:30,26.7,70,0.3,27
27-07-2023,17:30 - 18:00,24.9,82,0.1,73
27-07-2023,18:00 - 18:30,24.9,82,0.1,119
27-07-2023,18:30 - 19:00,24.4,84,0.0,14
27-07-2023,19:00 - 19:30,24.3,84,0.0,0
27-07-2023,19:30 - 20:00,24.3,84,0.0,0
27-07-2023,20:00 - 20:30,24.2,85,0.0,0
27-07-2023,20:30 - 21:00,24.6,75,0.0,0
27-07-2023,21:00 - 21:30,23.0,60,0.0,0
27-07-2023,21:30 - 22:00,22.7,63,0.0,0
27-07-2023,22:00 - 22:30,21.6,71,0.0,0
27-07-2023,22:30 - 23:00,20.3,78,0.0,0
27-07-2023,23:00 - 23:30,19.8,83,0.0,0
27-07-2023,23:30 - 00:00,19.6,84,0.0,0
28-07-2023,00:00 - 00:30,19.4,83,0.0,0
28-07-2023,00:30 - 01:00,19.1,85,0.0,0
28-07-2023,01:00 - 01:30,19.1,86,0.0,0
28-07-2023,01:30 - 02:00,18.8,87,0.0,0
28-07-2023,02:00 - 02:30,18.5,88,0.0,0
28-07-2023,02:30 - 03:00,18.4,88,0.0,0
28-07-2023,03:00 - 03:30,18.2,88,0.0,0
28-07-2023,03:30 - 04:00,18.3,88,0.0,0
28-07-2023,04:00 - 04:30,18.1,90,0.0,0
28-07-2023,04:30 - 05:00,17.8,90,0.0,3
28-07-2023,05:00 - 05:30,18.1,87,0.0,22
28-07-2023,05:30 - 06:00,18.6,85,0.0,41
28-07-2023,06:00 - 06:30,19.5,81,0.0,176
28-07-2023,06:30 - 07:00,20.3,77,0.0,294
28-07-2023,07:00 - 07:30,21.8,70,0.0,392
28-07-2023,07:30 - 08:00,23.5,64,0.0,485
28-07-2023,08:00 - 08:30,25.0,62,0.0,571
28-07-2023,08:30 - 09:00,26.2,57,0.0,651
28-07-2023,09:00 - 09:30,27.3,53,0.0,726
28-07-2023,09:30 - 10:00,28.5,50,0.0,793
28-07-2023,10:00 - 10:30,29.4,47,0.0,845
28-07-2023,10:30 - 11:00,30.0,45,0.0,884
28-07-2023,11:00 - 11:30,31.3,42,0.0,910
28-07-2023,11:30 - 12:00,31.5,45,0.0,880
28-07-2023,12:00 - 12:30,30.9,51,0.0,925
28-07-2023,12:30 - 13:00,30.7,52,0.0,910
28-07-2023,13:00 - 13:30,30.6,52,0.0,879
28-07-2023,13:30 - 14:00,30.7,52,0.0,837
28-07-2023,14:00 - 14:30,30.7,53,0.0,788
28-07-2023,14:30 - 15:00,30.5,53,0.0,728
28-07-2023,15:00 - 15:30,30.6,53,0.0,657
28-07-2023,15:30 - 16:00,30.7,53,0.0,572
28-07-2023,16:00 - 16:30,30.3,52,0.0,456
28-07-2023,16:30 - 17:00,30.0,53,0.0,358
28-07-2023,17:00 - 17:30,29.4,56,0.0,288
28-07-2023,17:30 - 18:00,29.2,55,0.0,189
28-07-2023,18:00 - 18:30,28.7,55,0.0,89
28-07-2023,18:30 - 19:00,27.4,68,0.0,25
28-07-2023,19:00 - 19:30,26.3,75,0.0,2
28-07-2023,19:30 - 20:00,25.7,78,0.0,0
28-07-2023,20:00 - 20:30,25.2,80,0.0,0
28-07-2023,20:30 - 21:00,24.9,81,0.0,0
28-07-2023,21:00 - 21:30,24.6,84,0.0,0
28-07-2023,21:30 - 22:00,24.4,85,0.0,0
28-07-2023,22:00 - 22:30,24.2,86,0.0,0
28-07-2023,22:30 - 23:00,24.0,86,0.0,0
28-07-2023,23:00 - 23:30,23.7,87,0.0,0
28-07-2023,23:30 - 00:00,23.2,89,0.0,0
29-07-2023,00:00 - 00:30,22.8,90,0.0,0
29-07-2023,00:30 - 01:00,22.4,91,0.0,0
29-07-2023,01:00 - 01:30,22.1,91,0.0,0
29-07-2023,01:30 - 02:00,21.9,92,0.0,0
29-07-2023,02:00 - 02:30,21.7,92,0.0,0
29-07-2023,02:30 - 03:00,21.6,93,0.0,0
29-07-2023,03:00 - 03:30,21.5,92,0.0,0
29-07-2023,03:30 - 04:00,21.4,92,0.0,0
29-07-2023,04:00 - 04:30,21.5,93,0.0,0
29-07-2023,04:30 - 05:00,21.3,93,0.0,4
29-07-2023,05:00 - 05:30,21.5,94,0.0,24
29-07-2023,05:30 - 06:00,22.1,91,0.0,47
29-07-2023,06:00 - 06:30,23.0,87,0.0,163
29-07-2023,06:30 - 07:00,23.9,82,0.0,293
29-07-2023,07:00 - 07:30,24.9,78,0.0,395
29-07-2023,07:30 - 08:00,25.9,73,0.0,420
29-07-2023,08:00 - 08:30,26.7,69,0.0,541
29-07-2023,08:30 - 09:00,27.7,65,0.0,659
29-07-2023,09:00 - 09:30,28.8,61,0.0,668
29-07-2023,09:30 - 10:00,29.6,59,0.0,720
29-07-2023,10:00 - 10:30,30.6,56,0.0,834
29-07-2023,10:30 - 11:00,31.5,53,0.0,861
29-07-2023,11:00 - 11:30,32.3,50,0.0,901
29-07-2023,11:30 - 12:00,32.3,50,0.0,916
29-07-2023,12:00 - 12:30,32.5,51,0.0,917
29-07-2023,12:30 - 13:00,32.3,54,0.0,905
29-07-2023,13:00 - 13:30,32.5,55,0.0,876
29-07-2023,13:30 - 14:00,32.2,55,0.0,828
29-07-2023,14:00 - 14:30,31.9,55,0.0,778
29-07-2023,14:30 - 15:00,31.5,56,0.0,717
29-07-2023,15:00 - 15:30,31.7,55,0.0,639
29-07-2023,15:30 - 16:00,31.6,54,0.0,554
29-07-2023,16:00 - 16:30,31.7,52,0.0,467
29-07-2023,16:30 - 17:00,30.7,57,0.0,374
29-07-2023,17:00 - 17:30,30.2,61,0.0,275
29-07-2023,17:30 - 18:00,29.6,62,0.0,184
29-07-2023,18:00 - 18:30,28.8,66,0.0,85
29-07-2023,18:30 - 19:00,28.1,67,0.0,32
29-07-2023,19:00 - 19:30,27.4,71,0.0,2
29-07-2023,19:30 - 20:00,27.0,70,0.0,0
29-07-2023,20:00 - 20:30,26.6,72,0.0,0
29-07-2023,20:30 - 21:00,26.1,73,0.0,0
29-07-2023,21:00 - 21:30,25.5,77,0.0,0
29-07-2023,21:30 - 22:00,25.3,78,0.0,0
29-07-2023,22:00 - 22:30,25.3,79,0.0,0
29-07-2023,22:30 - 23:00,25.3,79,0.0,0
29-07-2023,23:00 - 23:30,25.0,80,0.0,0
29-07-2023,23:30 - 00:00,24.9,81,0.0,0
30-07-2023,00:00 - 00:30,24.4,83,0.0,0
30-07-2023,00:30 - 01:00,23.8,84,0.0,0
30-07-2023,01:00 - 01:30,23.4,86,0.0,0
30-07-2023,01:30 - 02:00,23.7,85,0.0,0
30-07-2023,02:00 - 02:30,23.4,85,0.0,0
30-07-2023,02:30 - 03:00,22.9,87,0.0,0
30-07-2023,03:00 - 03:30,23.0,87,0.0,0
30-07-2023,03:30 - 04:00,22.7,88,0.0,0
30-07-2023,04:00 - 04:30,22.8,87,0.0,0
30-07-2023,04:30 - 05:00,23.0,86,0.0,3
30-07-2023,05:00 - 05:30,23.4,84,0.0,24
30-07-2023,05:30 - 06:00,24.2,82,0.0,75
30-07-2023,06:00 - 06:30,25.0,78,0.0,168
30-07-2023,06:30 - 07:00,25.5,79,0.0,151
30-07-2023,07:00 - 07:30,26.2,76,0.0,190
30-07-2023,07:30 - 08:00,26.5,73,0.0,246
30-07-2023,08:00 - 08:30,28.1,66,0.0,524
30-07-2023,08:30 - 09:00,29.4,59,0.0,584
30-07-2023,09:00 - 09:30,29.4,57,0.0,518
30-07-2023,09:30 - 10:00,29.6,54,0.0,499
30-07-2023,10:00 - 10:30,29.4,52,0.0,269
30-07-2023,10:30 - 11:00,29.5,52,0.0,287
30-07-2023,11:00 - 11:30,30.2,48,0.0,416
30-07-2023,11:30 - 12:00,30.2,47,0.0,620
30-07-2023,12:00 - 12:30,30.3,48,0.0,414
30-07-2023,12:30 - 13:00,30.1,50,0.0,420
30-07-2023,13:00 - 13:30,29.8,50,0.0,363
30-07-2023,13:30 - 14:00,30.2,47,0.0,515
30-07-2023,14:00 - 14:30,31.0,46,0.0,819
30-07-2023,14:30 - 15:00,31.0,45,0.0,761
30-07-2023,15:00 - 15:30,30.2,50,0.0,641
30-07-2023,15:30 - 16:00,29.7,51,0.0,557
30-07-2023,16:00 - 16:30,29.1,53,0.0,471
30-07-2023,16:30 - 17:00,28.5,56,0.0,380
30-07-2023,17:00 - 17:30,27.9,58,0.0,283
30-07-2023,17:30 - 18:00,27.1,56,0.0,189
30-07-2023,18:00 - 18:30,26.1,60,0.0,80
30-07-2023,18:30 - 19:00,25.4,64,0.0,32
30-07-2023,19:00 - 19:30,24.7,68,0.0,3
30-07-2023,19:30 - 20:00,24.1,72,0.0,0
30-07-2023,20:00 - 20:30,23.8,75,0.0,0
30-07-2023,20:30 - 21:00,23.6,78,0.0,0
30-07-2023,21:00 - 21:30,23.3,79,0.0,0
30-07-2023,21:30 - 22:00,23.0,78,0.0,0
30-07-2023,22:00 - 22:30,22.9,78,0.0,0
30-07-2023,22:30 - 23:00,22.8,77,0.0,0
30-07-2023,23:00 - 23:30,22.5,78,0.0,0
30-07-2023,23:30 - 00:00,22.2,79,0.0,0
31-07-2023,00:00 - 00:30,21.9,79,0.0,0
31-07-2023,00:30 - 01:00,21.8,81,0.0,0
31-07-2023,01:00 - 01:30,21.4,81,0.0,0
31-07-2023,01:30 - 02:00,21.3,83,0.0,0
31-07-2023,02:00 - 02:30,21.0,84,0.0,0
31-07-2023,02:30 - 03:00,21.5,82,0.0,0
31-07-2023,03:00 - 03:30,22.0,80,0.0,0
31-07-2023,03:30 - 04:00,22.1,78,0.0,0
31-07-2023,04:00 - 04:30,22.1,76,0.0,0
31-07-2023,04:30 - 05:00,22.4,76,0.0,2
31-07-2023,05:00 - 05:30,22.7,73,0.0,11
31-07-2023,05:30 - 06:00,22.6,73,0.0,23
31-07-2023,06:00 - 06:30,22.8,72,0.0,25
31-07-2023,06:30 - 07:00,23.0,70,0.0,48
31-07-2023,07:00 - 07:30,23.4,69,0.0,61
31-07-2023,07:30 - 08:00,24.0,67,0.0,116
31-07-2023,08:00 - 08:30,25.2,67,0.0,248
31-07-2023,08:30 - 09:00,25.9,68,0.0,291
31-07-2023,09:00 - 09:30,26.2,67,0.0,481
31-07-2023,09:30 - 10:00,27.3,65,0.0,519
31-07-2023,10:00 - 10:30,28.6,61,0.0,771
31-07-2023,10:30 - 11:00,29.6,56,0.0,859
31-07-2023,11:00 - 11:30,29.5,58,0.0,679
31-07-2023,11:30 - 12:00,29.7,60,0.0,957
31-07-2023,12:00 - 12:30,29.8,59,0.0,934
31-07-2023,12:30 - 13:00,29.7,60,0.0,900
31-07-2023,13:00 - 13:30,29.5,61,0.0,875
31-07-2023,13:30 - 14:00,29.3,62,0.0,841
31-07-2023,14:00 - 14:30,28.8,64,0.0,699
31-07-2023,14:30 - 15:00,28.6,65,0.0,681
31-07-2023,15:00 - 15:30,28.7,65,0.0,468
31-07-2023,15:30 - 16:00,28.5,66,0.0,365
31-07-2023,16:00 - 16:30,28.6,65,0.0,424
31-07-2023,16:30 - 17:00,28.8,65,0.0,360
31-07-2023,17:00 - 17:30,28.0,69,0.0,212
31-07-2023,17:30 - 18:00,27.3,72,0.0,51
